time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,,RNN,LSTM,UNIXtime,,,TEST
8/3/2021 17:00,2510.42,2468.16,2500.06,12912.98,32136815.68,2469.98,direct,,,2533.779583,2493.346011,1628010000,,,2500.06
8/3/2021 18:00,2489.23,2451.59,2469.98,20972.48,51755175.04,2486.23,direct,,,2546.371904,2451.223882,1628013600,,,2469.98
8/3/2021 19:00,2496.86,2468.45,2486.23,8988.26,22340676.88,2474.38,direct,,,2522.061303,2516.295997,1628017200,,,2486.23
8/3/2021 20:00,2489.09,2452.64,2474.38,21236.68,52503869.29,2486.66,direct,,,2514.187326,2514.01326,1628020800,,,2474.38
8/3/2021 21:00,2496.74,2475.08,2486.66,9076.44,22574638,2490.67,direct,,,2558.06753,2526.834528,1628024400,,,2486.66
8/3/2021 22:00,2530.21,2489.23,2490.67,12529.76,31468169.18,2513.01,direct,,,2596.467062,2511.351413,1628028000,,,2490.67
8/3/2021 23:00,2529.08,2495.63,2513.01,11352.98,28550656.91,2508.21,direct,,,2435.196007,2469.03176,1628031600,,,2513.01
8/4/2021 0:00,2522.08,2483.55,2508.21,11155.72,27874385.52,2516.58,direct,,,2493.880448,2550.906151,1628035200,,,2508.21
8/4/2021 1:00,2538.24,2509.19,2516.58,10699.31,26997964.03,2523.69,direct,,,2514.377584,2497.039834,1628038800,,,2516.58
8/4/2021 2:00,2536.04,2508.43,2523.69,10539.69,26546934.79,2512.29,direct,,,2588.512879,2466.415585,1628042400,,,2523.69
8/4/2021 3:00,2514.09,2484.26,2512.29,8991.61,22452107.32,2485.13,direct,,,2494.30013,2445.218812,1628046000,,,2512.29
8/4/2021 4:00,2501.81,2476.74,2485.13,7694.39,19145360.02,2495.95,direct,,,2417.152859,2517.91436,1628049600,,,2485.13
8/4/2021 5:00,2516.35,2494.91,2495.95,6572.6,16486719.42,2496.12,direct,,,2436.762266,2476.899876,1628053200,,,2495.95
8/4/2021 6:00,2507.88,2482.77,2496.12,6518.67,16258636.75,2485.9,direct,,,2417.612327,2518.71388,1628056800,,,2496.12
8/4/2021 7:00,2491.46,2466.45,2485.9,7923.73,19626570.89,2476.99,direct,,,2459.72538,2502.057139,1628060400,,,2485.9
8/4/2021 8:00,2488.62,2458.12,2476.99,12214.79,30190782.47,2476.9,direct,,,2542.909385,2530.301964,1628064000,,,2476.99
8/4/2021 9:00,2485.84,2471.71,2476.9,21402.01,53107005.25,2480.3,direct,,,2445.724618,2477.57167,1628067600,,,2476.9
8/4/2021 10:00,2504.73,2472.78,2480.3,12367.97,30721903.08,2500.24,direct,,,2456.160769,2468.336938,1628071200,,,2480.3
8/4/2021 11:00,2512.19,2497.82,2500.24,7792.86,19518764.6,2505.38,direct,,,2441.69324,2518.608406,1628074800,,,2500.24
8/4/2021 12:00,2590.96,2504.82,2505.38,25725.52,65541021.13,2588.62,direct,,,2517.510609,2610.83036,1628078400,,,2505.38
8/4/2021 13:00,2630.06,2574.65,2588.62,35493.11,92509301.28,2608.47,direct,,,2697.236234,2589.532508,1628082000,,,2588.62
8/4/2021 14:00,2642.91,2603.73,2608.47,21682.85,56909656.8,2638.95,direct,,,2724.425591,2604.11586,1628085600,,,2608.47
8/4/2021 15:00,2695.3,2637.89,2638.95,44859.79,119786772.5,2673.2,direct,,,2766.36102,2649.67584,1628089200,,,2638.95
8/4/2021 16:00,2725.39,2666.77,2673.2,49059.23,132627588.5,2710.31,direct,,,2799.208168,2719.254023,1628092800,,,2673.2
8/4/2021 17:00,2713.04,2668.58,2710.31,29708.44,79924189.46,2677.38,direct,,,2731.168564,2642.038584,1628096400,,,2710.31
8/4/2021 18:00,2704.41,2673.49,2677.38,21804.57,58589774.74,2691.93,direct,,,2685.307852,2693.114449,1628100000,,,2677.38
8/4/2021 19:00,2700.57,2681.11,2691.93,11723.65,31544231.96,2695.53,direct,,,2646.902639,2681.297602,1628103600,,,2691.93
8/4/2021 20:00,2722.99,2689.46,2695.53,14498.98,39260905.34,2711.03,direct,,,2785.501994,2674.051551,1628107200,,,2695.53
8/4/2021 21:00,2721.93,2706.2,2711.03,11149.29,30273120.7,2720.6,direct,,,2815.41291,2767.285496,1628110800,,,2711.03
8/4/2021 22:00,2770.24,2707.07,2720.6,42527.8,116436790.7,2728.87,direct,,,2696.423736,2766.091787,1628114400,,,2720.6
8/4/2021 23:00,2748.25,2704.81,2728.87,18576.79,50643985.01,2725.72,direct,,,2625.140932,2735.314534,1628118000,,,2728.87
8/5/2021 0:00,2741.77,2699.18,2725.72,14109.68,38371933.04,2704.55,direct,,,2651.324456,2725.970036,1628121600,,,2725.72
8/5/2021 1:00,2708.09,2666.91,2704.55,23741.44,63738137.77,2690.75,direct,,,2643.312078,2745.21078,1628125200,,,2704.55
8/5/2021 2:00,2699.65,2676.19,2690.75,8201.3,22053383.27,2698.54,direct,,,2716.242422,2757.314201,1628128800,,,2690.75
8/5/2021 3:00,2720.79,2691.62,2698.54,14388.8,38989056.01,2712.92,direct,,,2707.358514,2727.84106,1628132400,,,2698.54
8/5/2021 4:00,2720.35,2682.85,2712.92,9770.57,26381236.85,2695.18,direct,,,2696.285024,2663.161262,1628136000,,,2712.92
8/5/2021 5:00,2712.52,2690,2695.18,5736.91,15510598.15,2705.76,direct,,,2594.82384,2714.093741,1628139600,,,2695.18
8/5/2021 6:00,2705.76,2671.1,2705.76,10512.38,28225099.51,2685.07,direct,,,2612.412006,2735.280809,1628143200,,,2705.76
8/5/2021 7:00,2692.57,2667.8,2685.07,8459.45,22663636.5,2680.94,direct,,,2594.104353,2689.787102,1628146800,,,2685.07
8/5/2021 8:00,2690.43,2631.36,2680.94,17343.44,46138696.16,2633.42,direct,,,2575.116081,2587.071808,1628150400,,,2680.94
8/5/2021 9:00,2642.48,2578.55,2633.42,50295.01,130903875.8,2594.61,direct,,,2690.351109,2603.172213,1628154000,,,2633.42
8/5/2021 10:00,2617.2,2590.38,2594.61,22411.52,58378428.04,2615.49,direct,,,2710.92923,2654.042323,1628157600,,,2594.61
8/5/2021 11:00,2646.19,2604.85,2615.49,23276.84,61161743.83,2622.74,direct,,,2622.74,2597.92888,1628161200,,,2615.49
8/5/2021 12:00,2640.6,2536.51,2622.74,52652.35,136100385.4,2605.44,direct,,,2616.122304,2575.06057,1628164800,,,2622.74
8/5/2021 13:00,2685.83,2595.13,2605.44,42663.09,112241773.3,2685.54,direct,,,2709.763571,2742.849424,1628168400,,,2605.44
8/5/2021 14:00,2814.95,2668.52,2685.54,118146.75,327499556.5,2803.99,direct,,,2702.822041,2764.509821,1628172000,,,2685.54
8/5/2021 15:00,2804.65,2741.2,2803.99,60274.84,167370647.5,2757.64,direct,,,2741.811146,2771.593658,1628175600,,,2803.99
8/5/2021 16:00,2794,2748.56,2757.64,24587.31,68125786.94,2788.82,direct,,,2725.932109,2808.453293,1628179200,,,2757.64
8/5/2021 17:00,2818.25,2779.82,2788.82,34545.72,96702511.57,2813.94,direct,,,2862.396047,2812.0828,1628182800,,,2788.82
8/5/2021 18:00,2827.53,2788.21,2813.94,30565.64,85866834.16,2804.59,direct,,,2867.833505,2771.888481,1628186400,,,2813.94
8/5/2021 19:00,2823.02,2788.35,2804.59,28114.06,78929838.94,2797.27,direct,,,2733.044681,2840.963357,1628190000,,,2804.59
8/5/2021 20:00,2816.92,2797.24,2797.27,14391.41,40392753.01,2804.84,direct,,,2899.138721,2772.75263,1628193600,,,2797.27
8/5/2021 21:00,2844.03,2788.92,2804.84,23615.79,66631555.58,2827.43,direct,,,2814.678291,2838.626623,1628197200,,,2804.84
8/5/2021 22:00,2841.43,2807.43,2827.43,17220.5,48640546.96,2809.87,direct,,,2797.197486,2837.069542,1628200800,,,2827.43
8/5/2021 23:00,2834.88,2809.61,2809.87,21207.62,59875866.49,2829.23,direct,,,2750.351068,2840.433751,1628204400,,,2809.87
8/6/2021 0:00,2844.95,2769.75,2829.23,33672.42,94459084.22,2778.13,direct,,,2689.285403,2772.018114,1628208000,,,2829.23
8/6/2021 1:00,2816.47,2778.13,2778.13,20571.24,57537158.43,2809.25,direct,,,2916.366703,2788.854845,1628211600,,,2778.13
8/6/2021 2:00,2809.25,2767.68,2809.25,24699.71,68841660.33,2773.38,direct,,,2784.750858,2741.042389,1628215200,,,2809.25
8/6/2021 3:00,2791.71,2751.62,2773.38,15316.56,42455400.76,2762.51,direct,,,2831.600375,2784.389079,1628218800,,,2773.38
8/6/2021 4:00,2773.55,2751.02,2762.51,9368.83,25889551.84,2772.28,direct,,,2687.03239,2803.384982,1628222400,,,2762.51
8/6/2021 5:00,2791.44,2766.05,2772.28,7686.31,21344985.78,2786.01,direct,,,2803.143962,2804.397666,1628226000,,,2772.28
8/6/2021 6:00,2805.98,2770.55,2786.01,11649.67,32494175.4,2784.54,direct,,,2693.207088,2791.278587,1628229600,,,2786.01
8/6/2021 7:00,2768.57,2755.53,2784.32,20242.14,56033460.19,2768.16,multiply,BTC,,2790.858912,2759.025072,1628233200,,,2784.54
8/6/2021 8:00,2781.36,2758.51,2769.47,10979.33,30452202.11,2777.8,direct,,,2745.910856,2763.133216,1628236800,,,2768.16
8/6/2021 9:00,2777.99,2760.59,2777.8,11593.4,32099044.59,2761.21,direct,,,2698.944715,2742.986014,1628240400,,,2777.8
8/6/2021 10:00,2767,2739.29,2761.21,13920.31,38275048.13,2759.28,direct,,,2667.644311,2792.060246,1628244000,,,2761.21
8/6/2021 11:00,2759.28,2734.26,2759.28,12059.5,33103169.92,2737.59,direct,,,2679.224581,2688.203876,1628247600,,,2759.28
8/6/2021 12:00,2790.38,2722.76,2737.59,24530.99,67808929.45,2771.65,direct,,,2764.831741,2800.308861,1628251200,,,2737.59
8/6/2021 13:00,2787.31,2767.34,2771.65,13300.24,36960717.92,2778.47,direct,,,2798.975109,2765.022205,1628254800,,,2771.65
8/6/2021 14:00,2788.49,2763.84,2778.47,14071.71,39056970.41,2779.22,direct,,,2870.378416,2724.191444,1628258400,,,2778.47
8/6/2021 15:00,2846.15,2770.85,2779.22,41581.12,116945011.5,2834.65,direct,,,2742.835687,2794.738128,1628262000,,,2779.22
8/6/2021 16:00,2882.85,2834.65,2834.65,61343.06,175829109.9,2863.1,direct,,,2952.314196,2876.327522,1628265600,,,2834.65
8/6/2021 17:00,2916.6,2862.87,2863.1,53548.47,154762689.8,2914.09,direct,,,2966.660184,2969.865683,1628269200,,,2863.1
8/6/2021 18:00,2934.4,2905.78,2914.09,30337.39,88486186.55,2919.88,direct,,,2887.556928,2878.125716,1628272800,,,2914.09
8/6/2021 19:00,2949.04,2916.96,2919.88,34763.68,102013100.4,2931.34,direct,,,2914.514108,2957.135792,1628276400,,,2919.88
8/6/2021 20:00,2940.95,2883.77,2931.34,35737.82,104149099.4,2913.86,direct,,,2858.9046,2895.910622,1628280000,,,2931.34
8/6/2021 21:00,2918.59,2880.97,2913.86,18144.33,52565174.14,2880.97,direct,,,2785.292986,2898.082962,1628283600,,,2913.86
8/6/2021 22:00,2906.64,2878.22,2880.97,11127.02,32183863.15,2892.57,direct,,,2905.615491,2927.570097,1628287200,,,2880.97
